cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282862.0,0.0,30.0,28.0,0.1,67.9,12.5,1.45,3.5
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282863.0,30.0,102.0,9.0,0.14,55.8,26.5,1.4,0.75
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282864.0,102.0,157.0,9.0,0.14,53.9,29.0,1.4,0.75
26567889,326012,100,Rains,B/D,Poorly drained,1.0,79282865.0,157.0,201.0,9.0,0.13,55.5,30.0,1.45,0.75
26567905,326020,85,Tifton,B,Well drained,3.0,79282938.0,0.0,18.0,28.0,0.08,75.0,15.0,1.55,0.75
26567905,326020,85,Tifton,B,Well drained,3.0,79282936.0,18.0,28.0,9.0,0.1,62.2,29.9,1.73,0.26
26567905,326020,85,Tifton,B,Well drained,3.0,79282935.0,28.0,91.0,9.0,0.09,62.2,29.9,1.73,0.12
26567905,326020,85,Tifton,B,Well drained,3.0,79282937.0,91.0,107.0,9.0,0.09,62.2,29.9,1.73,0.12
26567905,326020,85,Tifton,B,Well drained,3.0,79282934.0,107.0,157.0,2.7,0.09,62.2,29.9,1.73,0.03
26567883,326022,100,Troup,A,Somewhat excessively drained,4.0,79282850.0,0.0,135.0,92.0,0.08,92.9,5.5,1.5,0.75
26567883,326022,100,Troup,A,Somewhat excessively drained,4.0,79282851.0,135.0,203.0,9.0,0.12,57.0,25.0,1.5,0.25
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300049.0,0.0,13.0,9.0,0.14,38.5,25.0,1.33,2.5
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300050.0,13.0,28.0,2.7,0.13,55.1,27.5,1.48,0.25
26573123,326255,100,Grady,C/D,Poorly drained,1.0,79300051.0,28.0,157.0,0.9,0.14,17.1,55.0,1.55,0.25
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300206.0,0.0,20.0,9.0,0.18,39.5,24.0,1.42,3.0
26573156,326260,45,Kinston,B/D,Poorly drained,1.0,79300207.0,20.0,38.0,9.0,0.17,35.0,30.0,1.48,1.0
